index,singlish,english
5438,"Eh, you see that? Got monkey there.","Hey, did you see that? There's a monkey over there."
5439,"Wah, the air here very fresh, can breathe better.","Wow, the air here is very fresh, you can breathe better."
5440,You got bring raincoat or not? Later rain how?,Did you bring a raincoat? What if it rains later?
5441,"This place very quiet, good for relaxing.","This place is very quiet, it's good for relaxing."
5442,"Eh, don't touch the plants, some can be poisonous.","Hey, don't touch the plants, some can be poisonous."
5443,"Wah, the sunrise here very beautiful.","Wow, the sunrise here is very beautiful."
5444,You got bring torchlight or not? Later dark how?,Did you bring a flashlight? What if it gets dark later?
5445,"This trail very long, must pace yourself.","This trail is very long, you must pace yourself."
5446,"Eh, you see that? Got deer there.","Hey, did you see that? There's a deer over there."
5447,"Wah, the water here very clear.","Wow, the water here is very clear."
5448,You got bring extra clothes or not? Later sweat a lot.,Did you bring extra clothes? You might sweat a lot.
5449,This place very good for taking photos.,This place is very good for taking photos.
5450,"Eh, don't feed the animals, not good for them.","Hey, don't feed the animals, it's not good for them."
5451,"Wah, the trail very muddy today.","Wow, the trail is very muddy today."
5452,You got bring map or not? Later we lost.,Did you bring a map? We might get lost.
5453,This place very good for stargazing at night.,This place is very good for stargazing at night.
5454,"Eh, don't stray from the path, later get lost.","Hey, don't stray from the path, you might get lost."
5455,"Wah, the breeze here very cooling.","Wow, the breeze here is very cooling."
5456,You got bring hat or not? Later sunburn.,Did you bring a hat? You might get sunburned.
5457,"This trail very popular, a lot of people come here.","This trail is very popular, a lot of people come here."
5458,"Eh, you hear that? Sounds like a waterfall nearby.","Hey, did you hear that? It sounds like there's a waterfall nearby."
5459,"Wah, the flowers here very pretty.","Wow, the flowers here are very pretty."
5460,You got bring extra socks or not? Later feet wet.,Did you bring extra socks? Your feet might get wet.
5461,This place very good for bird watching.,This place is very good for bird watching.
5462,"Eh, don't make too much noise, later scare the animals.","Hey, don't make too much noise, you might scare the animals."
5463,"Wah, the sky so clear today.","Wow, the sky is so clear today."
5464,You got bring camera or not? The view very nice.,Did you bring a camera? The view is very nice.
5465,"This trail got a lot of rocks, must be careful.","This trail has a lot of rocks, you must be careful."
5466,"Eh, you see that? Got monkey there.","Hey, did you see that? There's a monkey over there."
5467,"Wah, the air here very fresh, can breathe better.","Wow, the air here is very fresh, you can breathe better."
5468,You got bring raincoat or not? Later rain how?,Did you bring a raincoat? What if it rains later?
5469,"This place very quiet, good for relaxing.","This place is very quiet, it's good for relaxing."
5470,"Eh, don't touch the plants, some can be poisonous.","Hey, don't touch the plants, some can be poisonous."
5471,"Wah, the sunrise here very beautiful.","Wow, the sunrise here is very beautiful."
5472,You got bring torchlight or not? Later dark how?,Did you bring a flashlight? What if it gets dark later?
5473,"This trail very long, must pace yourself.","This trail is very long, you must pace yourself."
5474,"Eh, you see that? Got deer there.","Hey, did you see that? There's a deer over there."
5475,"Wah, the water here very clear.","Wow, the water here is very clear."
5476,You got bring extra clothes or not? Later sweat a lot.,Did you bring extra clothes? You might sweat a lot.
5477,This place very good for taking photos.,This place is very good for taking photos.
5478,"Eh, don't feed the animals, not good for them.","Hey, don't feed the animals, it's not good for them."
5479,"Wah, the trail very muddy today.","Wow, the trail is very muddy today."
5480,You got bring map or not? Later we lost.,Did you bring a map? We might get lost.
5481,This place very good for stargazing at night.,This place is very good for stargazing at night.
5482,"Eh, don't stray from the path, later get lost.","Hey, don't stray from the path, you might get lost."
5483,"Wah, the breeze here very cooling.","Wow, the breeze here is very cooling."
5484,You got bring hat or not? Later sunburn.,Did you bring a hat? You might get sunburned.
5485,"This trail very popular, a lot of people come here.","This trail is very popular, a lot of people come here."
5486,"Eh, you hear that? Sounds like a waterfall nearby.","Hey, did you hear that? It sounds like there's a waterfall nearby."
5487,"Wah, the flowers here very pretty.","Wow, the flowers here are very pretty."
5488,You got bring extra socks or not? Later feet wet.,Did you bring extra socks? Your feet might get wet.
5489,This place very good for bird watching.,This place is very good for bird watching.
5490,"Eh, don't make too much noise, later scare the animals.","Hey, don't make too much noise, you might scare the animals."
5491,"Wah, the sky so clear today.","Wow, the sky is so clear today."
5492,You got bring camera or not? The view very nice.,Did you bring a camera? The view is very nice.
5493,"This trail got a lot of rocks, must be careful.","This trail has a lot of rocks, you must be careful."
5494,"Eh, you see that? Got monkey there.","Hey, did you see that? There's a monkey over there."
5495,"Wah, the air here very fresh, can breathe better.","Wow, the air here is very fresh, you can breathe better."
5496,You got bring raincoat or not? Later rain how?,Did you bring a raincoat? What if it rains later?
5497,"This place very quiet, good for relaxing.","This place is very quiet, it's good for relaxing."
5498,"Eh, don't touch the plants, some can be poisonous.","Hey, don't touch the plants, some can be poisonous."
5499,"Wah, the sunrise here very beautiful.","Wow, the sunrise here is very beautiful."
5500,You got bring torchlight or not? Later dark how?,Did you bring a flashlight? What if it gets dark later?
5501,"Wah, this campsite damn nice leh.","Wow, this campsite is really nice."
5502,You bring the tent or not?,Did you bring the tent?
5503,"Aiyah, forgot to pack the insect repellent.","Oh no, I forgot to pack the insect repellent."
5504,"Tonight got BBQ, you want to join?","There's a BBQ tonight, do you want to join?"
5505,Don't forget to bring your sleeping bag ah.,Don't forget to bring your sleeping bag.
5506,"The stars here very bright, so nice.","The stars here are very bright, it's so nice."
5507,Got enough water for everyone or not?,Do we have enough water for everyone?
5508,"Eh, help me set up the tent can?","Hey, can you help me set up the tent?"
5509,This place got toilet facilities or not?,Does this place have toilet facilities?
5510,"Better keep the food properly, later got animals come.","We should keep the food properly, in case animals come."
5511,You know how to start a campfire?,Do you know how to start a campfire?
55112,"The weather so good, perfect for camping.","The weather is so good, perfect for camping."
5513,Got enough torchlight batteries or not?,Do we have enough batteries for the torchlight?
5514,"Don't wander too far, later get lost.","Don't wander too far, you might get lost."
5515,This place got a lot of mosquitoes leh.,There are a lot of mosquitoes here.
